logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-22441.758290159672,-23298.07088777694,-20812.178489637525,-21426.284726052127
-20606.055015553768,-18667.74055653778,-19029.67508459104,-17308.862538297013
-22883.608990396566,-27123.563352772373,-21529.973476451403,-25181.320879748677
-19846.513990026055,-18716.84604679344,-18588.70641787628,-17579.038489753108
-5175.412693331705,-4763.502219473586,-4681.740213369474,-4336.749165887526
-318842.2572775165,-312949.1770590374,-254799.74177483292,-250726.86112668
-7222.699330011624,-6857.974080957878,-7116.08158969512,-6884.37449146057
-12601.52413531737,-14274.098747187705,-11777.237173991041,-13205.785138429692
-18508.449389508467,-19178.47540283672,-17226.6759270875,-17730.797703418237
-23140.93893994285,-22910.431434935083,-24668.16098415393,-24465.480481275947
-63996.6858805883,-63671.573125732284,-71043.9071885073,-70804.67365825702
-27399.861821656545,-29412.924903252715,-29810.962287994927,-32279.4905203715
-35435.575022072444,-36099.197658761106,-38238.81783166616,-39137.82832343337
-20667.547043641294,-21175.49424209958,-21713.885578007517,-22274.477609997855
-92522.4067129614,-93335.07374418889,-80421.55399826744,-80896.71511185159
-651.8933046230287,-521.2405183614194,-653.4185801027384,-506.12884184922933
-120005.0318099505,-132845.9834501408,-102972.08414894875,-112167.85589269602
-22905.05887963373,-23877.59171306683,-24626.271772072672,-25838.62345184974
-5098.16678929492,-6367.502941320854,-5341.5198787224745,-6785.743121168834
-6060.633597128218,-5977.677117285839,-5600.191290310684,-5503.007900937253
-1064.1155897689016,-1296.729734587393,-1153.5559348274248,-1409.3049242640425
-56515.438175812655,-60058.84752238296,-50130.28125225595,-52575.02304551814
-144222.90572697192,-134885.47005387972,-122523.6476696745,-115647.07327217766
-38459.93843107387,-40349.377382848485,-40937.467442589936,-43062.856686951935
-475.1891226425917,-1140.2995828233052,-383.0820397606983,-1048.8449299319911
-111390.38219429988,-115441.74672327301,-95786.64332027032,-98550.1171432356
-6111.827022222046,-7050.7947976192545,-6241.417447436552,-7315.496240173311
-100908.9563394484,-99456.3889488133,-116357.73774368106,-114237.65296086854
-4868.330083895276,-3650.5636771987765,-4708.335405832012,-3538.489305847389
-111395.22809698472,-110461.37632531305,-129214.19746114507,-127817.6597836055
-12984.765166563036,-11504.184070358213,-13718.12885213409,-12171.15754125412
-213.84771123676174,-514.810003048735,-186.72895232807844,-479.47531445444827
-7216.865611995343,-7063.13862305551,-6965.9608377484465,-6784.418202906114
-492.9547846970588,-568.6079655822181,-594.2746224504345,-611.5482215978881
-20264.900345316615,-18442.27643625442,-21721.141868082745,-19702.39990826692
