logp_cosmo_full,logp_all_full,logp_cosmo_fisher,logp_all_fisher
-5246.385966822687,-4887.54658738368,-6044.518798026149,-5565.723602478692
-30324.120853848206,-30247.75160078367,-43059.04139091129,-42842.52132393041
-6093.562392496828,-5562.404276921613,-5476.949488086151,-5034.542292454545
-2743.204261585585,-3171.512889765109,-2959.3467734484148,-3532.311677640502
-100278.39034228242,-102095.1704037089,-68904.9395338492,-69893.65415741841
-26414.446091005015,-26339.89103538723,-36357.15084243898,-35971.75967686762
-11134.952670244249,-11704.186509418982,-13559.25688184893,-14473.50136645608
-8917.28163758501,-9165.25477865603,-7707.6261072973075,-7890.652945965926
-6342.4170205655655,-6275.322056575633,-7165.832573958907,-7116.340398708105
-6295.124600455747,-6097.359159099329,-7095.972790951328,-6762.643232531001
-1702.9773879341724,-1785.1340016142397,-1580.7556466188205,-1654.1105748750163
-8261.298856174612,-8893.049170334167,-7153.416594368885,-7657.748899373319
-255.36265938623146,-289.7865684577163,-253.441523809489,-286.4475056311369
-22806.424132706077,-22963.364522193708,-30671.585645518935,-31233.77011109297
-9517.215338672304,-10963.00782876079,-8120.685605889313,-9160.855998294855
-64.18394006624408,-195.1853612626338,-81.2223957751191,-216.4868586966755
-15602.007289150655,-14734.260601023194,-19628.838013333956,-18232.1242373606
-60274.49074834915,-59698.0693452842,-44739.47106868765,-44584.50813056745
-3874.1085627953853,-3462.592178211095,-3433.5309320830333,-3105.076553494523
-9198.294773035828,-8486.516631942264,-7861.981122930537,-7325.808103683268
-3731.7917845475436,-3089.0363941629566,-3347.387113917795,-2822.177011463744
-188.46191670352096,-256.68475094959877,-243.41627467278914,-314.34062915389126
-24596.622460150076,-25511.6842584578,-33594.13270554081,-35576.62506415065
-773.4175901316155,-1010.6086457258816,-715.4954326347063,-927.5763147126881
-1548.6602837023026,-1777.5211957436147,-1437.9634842219516,-1636.1204158571022
-6645.889656287079,-6274.941300222229,-5855.450845042185,-5551.404736747839
-13004.666898768852,-13213.042209087216,-16069.203851147731,-16481.037681485504
-8202.84835352173,-7951.956576804571,-7089.79765758479,-6844.636565143133
-38360.32703032416,-37298.9981238977,-29267.735567591146,-28759.533948805136
-11651.821644855087,-11573.784060958944,-13955.957744809237,-14089.463668789325
-6464.290454582545,-6963.457482393834,-7480.320751331754,-8161.97438334642
-2360.537174950012,-2661.408588952019,-2555.6715168457304,-2956.467624451062
-6270.350144467247,-6877.414056222009,-5589.90494008543,-5983.712470068706
-5425.404118097734,-5886.449975073994,-6167.077875325056,-6767.151491077291
-11851.492728383517,-11829.34035592683,-14349.945571470647,-14388.105643426134
-2875.015462987848,-2958.0102709116773,-3121.040395513517,-3245.5764893593528
-8488.700840361349,-8784.050991710372,-9919.411676255913,-10387.84194002135
-12595.038470559424,-12814.52864099736,-10571.884382417933,-10649.83973996875
-8015.107852402047,-6892.451185973561,-7015.165162269044,-6146.70614764069
-20710.376435959985,-20431.44809577028,-27294.527990800223,-26696.982312656368
-4446.775772690959,-4539.8189865026425,-3986.1160962137265,-4021.246994024338
-6610.858189644226,-5454.792360422852,-5802.643376821176,-4889.7591801611225
-8466.750984349463,-7837.504554774157,-10002.46974981297,-9146.96928827199
-977.4325118119965,-946.7837104194217,-1022.9642533034844,-991.122456678364
-59880.274906069004,-64648.019765704455,-44224.463068372854,-46760.867498735395
-509.0650241596597,-362.3263099912598,-520.9397879290523,-385.22997827300685
-6260.674130624334,-6418.030032547409,-7086.438950979852,-7352.169937013456
-7582.240093442025,-9612.516507991353,-6644.525828991765,-8135.313339875682
-42923.91527103042,-39945.77985561165,-32610.284166427384,-30794.256231011743
-6162.2841343585815,-7057.991610979883,-5511.862108326175,-6196.975885006526
-1062.7593000279094,-1210.9855752918772,-975.8045203323547,-1104.5682381841032
-9638.979391965237,-9541.774901965482,-11503.30474288199,-11440.56297725483
-7078.534966369025,-7254.22016887969,-6239.762374531967,-6358.749840629675
-59703.2888383343,-57177.971711456725,-43937.31693951872,-42821.621756980545
-161.79291160475086,-225.38929518770564,-154.60890116207906,-213.5430935202602
-4937.7976194687535,-5584.841676591869,-5506.498685452104,-6327.0351388109475
